"Item SKU","Item Name","Item Description (short)","Item UOM","Physical Quantity (Good)","Physical Quantity (Damaged)","Quantity on-hold"
M-405243x4,"Merries Tape Diapers L54s x 4 packs (9 - 14 kg)","New and improved Merries Tape",PIECES,1863,0,7
M-278150X3,"Merries Walker Pants Super Jumbo XL38s x 3 packs (12 - 22 kg)","Merries Walker Pants is designed",PIECES,3580,0,18
M-278149X3,"Merries Walker Pants Super Jumbo L44s x 3 packs (9 - 14 kg)","Merries Walker Pants is designed",PIECES,1856,0,5
M-405245x6,"Merries Walker Pants Jumbo M33s x 6 packs (6 - 11 kg)","Merries Walker Pants is designed",PIECES,626,0,3
406203,"Curel Makeup Cleansing Gel 130g","For dry, sensitive skinThoroughly",PIECES,703,0,0
456006,"Curel Foaming Wash 150ml","For dry, sensitive skinCleanses",PIECES,845,0,0
406206,"Curel Moisture Lotion 2 150ml","For dry, sensitive skinHelps",PIECES,357,0,0
406207,"Curel Moisture Lotion 3 ENRICH 150ml","For dry, sensitive skinHelps",PIECES,161,0,0
406208,"Curel Moisture Face Milk 120ml","For dry, sensitive skinHelps",PIECES,956,0,0
406209,"Curel Intensive Moisture Cream 40g","For dry, sensitive skinHelps",PIECES,397,0,0
459522,"Curel UV Protection Milk SPF50+ PA+++ 60ml","For dry, sensitive skinProtects",PIECES,431,0,0
406218,"Curel Trial Kit 2","For dry, sensitive skin 20",PIECES,291,0,0
406219,"Curel Trial Kit 3 ENRICH","For dry, sensitive skin 20",PIECES,131,0,0
286121,"Curel Instant Foaming Body Wash 480ml","Does your skin become dry",PIECES,514,0,0
286119,"Curel Body Wash 420ml","Does your skin react when",PIECES,723,0,0
286120,"Curel Moisture Milk 220ml","For dry, sensitive skinHelps",PIECES,297,0,0
754123,"Curel Moisture Gel Lotion 220ml","Does your skin become itchy",PIECES,1260,0,0
406212,"Curel Moisture Cream 90g","For dry, sensitive skinHelps",PIECES,598,0,0
459675,"Curel Sebum Care Foaming Wash 150ml","For oily, sensitive skinControls",PIECES,1265,0,0
459676,"Curel Sebum Care Lotion 150ml","For oily, sensitive skinControls",PIECES,236,0,0
459677,"Curel Sebum Care Moisture Gel 120ml","For oily, sensitive skinControls",PIECES,171,0,0
459678,"Curel Sebum Care Trial Kit","Dual Function Sensitive Skincare Brand",PIECES,748,0,0
